Codice Provincia (Storico)(1);Progressivo del Comune (2);Denominazione in italiano; Provincia
001;001;Agliè;Torino
001;002;Airasca;Torino
001;003;Ala di Stura;Torino
001;004;Albiano d'Ivrea;Torino
001;006;Almese;Torino
001;007;Alpette;Torino
001;008;Alpignano;Torino
001;009;Andezeno;Torino
001;010;Andrate;Torino
025;035;Ospitale di Cadore;Belluno
025;036;Pedavena;Belluno
025;037;Perarolo di Cadore;Belluno
025;039;Pieve di Cadore;Belluno
025;040;Ponte nelle Alpi;Belluno
025;043;Rivamonte Agordino;Belluno
025;044;Rocca Pietore;Belluno
025;045;San Gregorio nelle Alpi;Belluno
025;046;San Nicolò di Comelico;Belluno
025;047;San Pietro di Cadore;Belluno
025;048;Santa Giustina;Belluno
025;049;San Tomaso Agordino;Belluno
025;050;Santo Stefano di Cadore;Belluno
025;051;San Vito di Cadore;Belluno
025;053;Sedico;Belluno
049;002;Campiglia Marittima;Livorno
049;003;Campo nell'Elba;Livorno
049;004;Capoliveri;Livorno
049;005;Capraia Isola;Livorno
049;006;Castagneto Carducci;Livorno
049;007;Cecina;Livorno
049;008;Collesalvetti;Livorno
049;009;Livorno;Livorno
049;010;Marciana;Livorno
049;011;Marciana Marina;Livorno
049;012;Piombino;Livorno
049;013;Porto Azzurro;Livorno
049;014;Portoferraio;Livorno
049;017;Rosignano Marittimo;Livorno
049;018;San Vincenzo;Livorno
049;019;Sassetta;Livorno
049;020;Suvereto;Livorno
049;021;Rio;Livorno
050;010;Castellina Marittima;Pisa
050;011;Castelnuovo di Val di Cecina;Pisa
050;012;Chianni;Pisa
050;014;Fauglia;Pisa
050;015;Guardistallo;Pisa
050;016;Lajatico;Pisa
050;019;Montecatini Val di Cecina;Pisa
050;020;Montescudaio;Pisa
050;021;Monteverdi Marittimo;Pisa
050;022;Montopoli in Val d'Arno;Pisa
050;023;Orciano Pisano;Pisa
050;024;Palaia;Pisa
050;025;Peccioli;Pisa
050;026;Pisa;Pisa
050;027;Pomarance;Pisa
050;028;Ponsacco;Pisa
050;029;Pontedera;Pisa
051;018;Foiano della Chiana;Arezzo
051;020;Loro Ciuffenna;Arezzo
051;021;Lucignano;Arezzo
051;022;Marciano della Chiana;Arezzo
051;023;Montemignaio;Arezzo
051;024;Monterchi;Arezzo
051;025;Monte San Savino;Arezzo
051;026;Montevarchi;Arezzo
051;027;Ortignano Raggiolo;Arezzo
051;030;Pieve Santo Stefano;Arezzo
051;031;Poppi;Arezzo
051;033;San Giovanni Valdarno;Arezzo
051;034;Sansepolcro;Arezzo
